,Year,Draw,Country,Artist,Song,Language,Place,Points
0,1956,01,Netherlands,Jetty Paerl,De vogels van Holland,Dutch,,
1,1956,02,Switzerland,Lys Assia,Das alte Karussell,German,,
2,1956,03,Belgium,Fud Leclerc,Messieurs les noyés de la Seine,French,,
3,1956,04,Germany,Walter Andreas Schwarz,Im Wartesaal zum großen Glück,German,,
4,1956,05,France,Mathé Altéry,Le temps perdu,French,,
5,1956,06,Luxembourg,Michèle Arnaud,Ne crois pas,French,,
6,1956,07,Italy,Franca Raimondi,Aprite le finestre,Italian,,
7,1956,08,Netherlands,Corry Brokken,Voorgoed voorbij,Dutch,,
8,1956,09,Switzerland,Lys Assia,Refrain,French,,
9,1956,10,Belgium,Mony Marc,Le plus beau jour de ma vie,French,,
10,1956,11,Germany,Freddy Quinn,So geht das jede Nacht,German,,
11,1956,12,France,Dany Dauberson,Il est là,French,,
12,1956,13,Luxembourg,Michèle Arnaud,Les amants de minuit,French,,
13,1956,14,Italy,Tonina Torrielli,Amami se vuoi,Italian,,
0,1957,01,Belgium,Bobbejaan Schoepen,Straatdeuntje,Dutch,8,5
1,1957,02,Luxembourg,Danièle Dupré,Amours mortes (tant de peine),French,4,8
2,1957,03,United Kingdom,Patricia Bredin,All,English,7,6
3,1957,04,Italy,Nunzio Gallo,Corde della mia chitarra,Italian,6,7
4,1957,05,Austria,Bob Martin,"Wohin, kleines Pony?",German,10,3
5,1957,06,Netherlands,Corry Brokken,Net als toen,Dutch,1,31
6,1957,07,Germany,Margot Hielscher,"Telefon, Telefon",German,4,8
7,1957,08,France,Paule Desjardins,La belle amour,French,2,17
8,1957,09,Denmark,Birthe Wilke and Gustav Winckler,Skibet skal sejle i nat,Danish,3,10
9,1957,10,Switzerland,Lys Assia,L'enfant que j'étais,French,8,5
0,1958,01,Italy,Domenico Modugno,"Nel blu, dipinto di blu",Italian,3,13
1,1958,02,Netherlands,Corry Brokken,Heel de wereld,Dutch,9,1
2,1958,03,France,André Claveau,"Dors, mon amour",French,1,27
3,1958,04,Luxembourg,Solange Berry,Un grand amour,French,9,1
4,1958,05,Sweden,Alice Babs,Lilla stjärna,Swedish,4,10
5,1958,06,Denmark,Raquel Rastenni,Jeg rev et blad ud af min dagbog,Danish,8,3
6,1958,07,Belgium,Fud Leclerc,Ma petite chatte,French,5,8
7,1958,08,Germany,Margot Hielscher,Für zwei Groschen Musik,German,7,5
8,1958,09,Austria,Liane Augustin,Die ganze Welt braucht Liebe,German,5,8
9,1958,10,Switzerland,Lys Assia,Giorgio,"German, Italian",2,24
0,1959,01,France,Jean Philippe,"Oui, oui, oui, oui",French,3,15
1,1959,02,Denmark,Birthe Wilke,"Uh, jeg ville ønske jeg var dig",Danish,5,12
2,1959,03,Italy,Domenico Modugno,"Piove (Ciao, ciao bambina)",Italian,6,9
3,1959,04,Monaco,Jacques Pills,Mon ami Pierrot,French,11,1
4,1959,05,Netherlands,Teddy Scholten,Een beetje,Dutch,1,21
5,1959,06,Germany,Alice and Ellen Kessler,Heute Abend wollen wir tanzen geh'n,German,8,5
6,1959,07,Sweden,Brita Borg,Augustin,Swedish,9,4
7,1959,08,Switzerland,Christa Williams,Irgendwoher,German,4,14
8,1959,09,Austria,Ferry Graf,Der K und K Kalypso aus Wien,German,9,4
9,1959,10,United Kingdom,Pearl Carr and Teddy Johnson,"Sing, Little Birdie",English,2,16
10,1959,11,Belgium,Bob Benny,Hou toch van mij,Dutch,6,9
0,1960,01,United Kingdom,Bryan Johnson,"Looking High, High, High",English,2,25
1,1960,02,Sweden,Siw Malmkvist,Alla andra får varann,Swedish,10,4
2,1960,03,Luxembourg,Camillo Felgen,So laang we's du do bast,Luxembourgish,13,1
3,1960,04,Denmark,Katy Bødtger,Det var en yndig tid,Danish,10,4
4,1960,05,Belgium,Fud Leclerc,Mon amour pour toi,French,6,9
5,1960,06,Norway,Nora Brockstedt,Voi Voi,Norwegian,4,11
6,1960,07,Austria,Harry Winter,Du hast mich so fasziniert,German,7,6
7,1960,08,Monaco,François Deguelt,Ce soir-là,French,3,15
8,1960,09,Switzerland,Anita Traversi,Cielo e terra,Italian,8,5
9,1960,10,Netherlands,Rudi Carrell,Wat een geluk,Dutch,12,2
10,1960,11,Germany,Wyn Hoop,Bonne nuit ma chérie,German,4,11
11,1960,12,Italy,Renato Rascel,Romantica,Italian,8,5
12,1960,13,France,Jacqueline Boyer,Tom Pillibi,French,1,32
0,1961,01,Spain,Conchita Bautista,Estando contigo,Spanish,9,8
1,1961,02,Monaco,Colette Deréal,"Allons, allons les enfants",French,10,6
2,1961,03,Austria,Jimmy Makulis,Sehnsucht,German,15,1
3,1961,04,Finland,Laila Kinnunen,Valoa ikkunassa,Finnish,10,6
4,1961,05,Yugoslavia,Ljiljana Petrović,Neke davne zvezde (Неке давне звезде),Serbo-Croatian,8,9
5,1961,06,Netherlands,Greetje Kauffeld,Wat een dag,Dutch,10,6
6,1961,07,Sweden,Lill-Babs,"April, april",Swedish,14,2
7,1961,08,Germany,Lale Andersen,Einmal sehen wir uns wieder,"German, French",13,3
8,1961,09,France,Jean-Paul Mauric,"Printemps, avril carillonne",French,4,13
9,1961,10,Switzerland,Franca di Rienzo,Nous aurons demain,French,3,16
10,1961,11,Belgium,Bob Benny,"September, gouden roos",Dutch,15,1
11,1961,12,Norway,Nora Brockstedt,Sommer i Palma,Norwegian,7,10
12,1961,13,Denmark,Dario Campeotto,Angelique,Danish,5,12
13,1961,14,Luxembourg,Jean-Claude Pascal,Nous les amoureux,French,1,31
14,1961,15,United Kingdom,The Allisons,Are You Sure?,English,2,24
15,1961,16,Italy,Betty Curtis,Al di là,Italian,5,12
0,1962,01,Finland,Marion Rung,Tipi-tii,Finnish,7,4
1,1962,02,Belgium,Fud Leclerc,Ton nom,French,13,0
2,1962,03,Spain,Victor Balaguer,Llámame,Spanish,13,0
3,1962,04,Austria,Eleonore Schwarz,Nur in der Wiener Luft,German,13,0
4,1962,05,Denmark,Ellen Winther,Vuggevise,Danish,10,2
5,1962,06,Sweden,Inger Berggren,Sol och vår,Swedish,7,4
6,1962,07,Germany,Conny Froboess,Zwei kleine Italiener,German,6,9
7,1962,08,Netherlands,De Spelbrekers,Katinka,Dutch,13,0
8,1962,09,France,Isabelle Aubret,Un premier amour,French,1,26
9,1962,10,Norway,Inger Jacobsen,"Kom sol, kom regn",Norwegian,10,2
10,1962,11,Switzerland,Jean Philippe,Le retour,French,10,2
11,1962,12,Yugoslavia,Lola Novaković,Ne pali svetla u sumrak (Не пали светла у сумрак),Serbo-Croatian,4,10
12,1962,13,United Kingdom,Ronnie Carroll,Ring-a-Ding Girl,English,4,10
13,1962,14,Luxembourg,Camillo Felgen,Petit bonhomme,French,3,11
14,1962,15,Italy,Claudio Villa,"Addio, addio",Italian,9,3
15,1962,16,Monaco,François Deguelt,Dis rien,French,2,13
0,1963,01,United Kingdom,Ronnie Carroll,Say Wonderful Things,English,4,28
1,1963,02,Netherlands,Annie Palmen,Een speeldoos,Dutch,13,0
2,1963,03,Germany,Heidi Brühl,Marcel,German,9,5
3,1963,04,Austria,Carmela Corren,Vielleicht geschieht ein Wunder,"German, English",7,16
4,1963,05,Norway,Anita Thallaug,Solhverv,Norwegian,13,0
5,1963,06,Italy,Emilio Pericoli,Uno per tutte,Italian,3,37
6,1963,07,Finland,Laila Halme,Muistojeni laulu,Finnish,13,0
7,1963,08,Denmark,Grethe and Jørgen Ingmann,Dansevise,Danish,1,42
8,1963,09,Yugoslavia,Vice Vukov,Brodovi (Бродови),Serbo-Croatian,11,3
9,1963,10,Switzerland,Esther Ofarim,T'en va pas,French,2,40
10,1963,11,France,Alain Barrière,Elle était si jolie,French,5,25
11,1963,12,Spain,José Guardiola,Algo prodigioso,Spanish,12,2
12,1963,13,Sweden,Monica Zetterlund,En gång i Stockholm,Swedish,13,0
13,1963,14,Belgium,Jacques Raymond,Waarom?,Dutch,10,4
14,1963,15,Monaco,Françoise Hardy,L'amour s'en va,French,5,25
15,1963,16,Luxembourg,Nana Mouskouri,À force de prier,French,8,13
0,1964,01,Luxembourg,Hugues Aufray,Dès que le printemps revient,French,4,14
1,1964,02,Netherlands,Anneke Grönloh,Jij bent mijn leven,Dutch,10,2
2,1964,03,Norway,Arne Bendiksen,Spiral,Norwegian,8,6
3,1964,04,Denmark,Bjørn Tidmand,Sangen om dig,Danish,9,4
4,1964,05,Finland,Lasse Mårtenson,Laiskotellen,Finnish,7,9
5,1964,06,Austria,Udo Jürgens,"Warum nur, warum?",German,6,11
6,1964,07,France,Rachel,Le Chant de Mallory,French,4,14
7,1964,08,United Kingdom,Matt Monro,I Love the Little Things,English,2,17
8,1964,09,Germany,Nora Nova,Man gewöhnt sich so schnell an das Schöne,German,13,0
9,1964,10,Monaco,Romuald,Où sont-elles passées,French,3,15
10,1964,11,Portugal,António Calvário,Oração,Portuguese,13,0
11,1964,12,Italy,Gigliola Cinquetti,Non ho l'età,Italian,1,49
12,1964,13,Yugoslavia,Sabahudin Kurt,Život je sklopio krug (Живот је склопио круг),Serbo-Croatian,13,0
13,1964,14,Switzerland,Anita Traversi,I miei pensieri,Italian,13,0
14,1964,15,Belgium,Robert Cogoi,Près de ma rivière,French,10,2
15,1964,16,Spain,"Tim, Nelly and Tony",Caracola,Spanish,12,1
0,1965,01,Netherlands,Conny Vandenbos,'t Is genoeg,Dutch,11,5
1,1965,02,United Kingdom,Kathy Kirby,I Belong,English,2,26
2,1965,03,Spain,Conchita Bautista,"¡Qué bueno, qué bueno!",Spanish,15,0
3,1965,04,Ireland,Butch Moore,Walking the Streets in the Rain,English,6,11
4,1965,05,Germany,Ulla Wiesner,"Paradies, wo bist du?",German,15,0
5,1965,06,Austria,Udo Jürgens,"Sag ihr, ich lass sie grüßen",German,4,16
6,1965,07,Norway,Kirsti Sparboe,Karusell,Norwegian,13,1
7,1965,08,Belgium,Lize Marke,Als het weer lente is,Dutch,15,0
8,1965,09,Monaco,Marjorie Noël,Va dire à l'amour,French,9,7
9,1965,10,Sweden,Ingvar Wixell,Absent Friend,English,10,6
10,1965,11,France,Guy Mardel,N'avoue jamais,French,3,22
11,1965,12,Portugal,Simone de Oliveira,Sol de inverno,Portuguese,13,1
12,1965,13,Italy,Bobby Solo,"Se piangi, se ridi",Italian,5,15
13,1965,14,Denmark,Birgit Brüel,For din skyld,Danish,7,10
14,1965,15,Luxembourg,France Gall,"Poupée de cire, poupée de son",French,1,32
15,1965,16,Finland,Viktor Klimenko,Aurinko laskee länteen,Finnish,15,0
16,1965,17,Yugoslavia,Vice Vukov,Čežnja (Чежња),Serbo-Croatian,12,2
17,1965,18,Switzerland,Yovanna,"Non, à jamais sans toi",French,8,8
0,1966,01,Germany,Margot Eskens,Die Zeiger der Uhr,German,10,7
1,1966,02,Denmark,Ulla Pia,Stop – mens legen er go',Danish,14,4
2,1966,03,Belgium,Tonia,"Un peu de poivre, un peu de sel",French,4,14
3,1966,04,Luxembourg,Michèle Torr,Ce soir je t'attendais,French,10,7
4,1966,05,Yugoslavia,Berta Ambrož,Brez besed,Slovene,7,9
5,1966,06,Norway,Åse Kleveland,Intet er nytt under solen,Norwegian,3,15
6,1966,07,Finland,Ann-Christine Nyström,Playboy,Finnish,10,7
7,1966,08,Portugal,Madalena Iglésias,Ele e ela,Portuguese,13,6
8,1966,09,Austria,Udo Jürgens,"Merci, Chérie",German,1,31
9,1966,10,Sweden,Lill Lindfors and Svante Thuresson,Nygammal vals,Swedish,2,16
10,1966,11,Spain,Raphael,Yo soy aquél,Spanish,7,9
11,1966,12,Switzerland,Madeleine Pascal,Ne vois-tu pas ?,French,6,12
12,1966,13,Monaco,Téréza,Bien plus fort,French,17,0
13,1966,14,Italy,Domenico Modugno,"Dio, come ti amo",Italian,17,0
14,1966,15,France,Dominique Walter,Chez nous,French,16,1
15,1966,16,Netherlands,Milly Scott,Fernando en Filippo,Dutch,15,2
16,1966,17,Ireland,Dickie Rock,Come Back to Stay,English,4,14
17,1966,18,United Kingdom,Kenneth McKellar,A Man Without Love,English,9,8
0,1967,01,Netherlands,Thérèse Steinmetz,Ring-dinge-ding,Dutch,14,2
1,1967,02,Luxembourg,Vicky,L'amour est bleu,French,4,17
2,1967,03,Austria,Peter Horton,Warum es hunderttausend Sterne gibt,German,14,2
3,1967,04,France,Noëlle Cordier,Il doit faire beau là-bas,French,3,20
4,1967,05,Portugal,Eduardo Nascimento,O vento mudou,Portuguese,12,3
5,1967,06,Switzerland,Géraldine,Quel cœur vas-tu briser ?,French,17,0
6,1967,07,Sweden,Östen Warnerbring,Som en dröm,Swedish,8,7
7,1967,08,Finland,Fredi,Varjoon – suojaan,Finnish,12,3
8,1967,09,Germany,Inge Brück,Anouschka,German,8,7
9,1967,10,Belgium,Louis Neefs,Ik heb zorgen,Dutch,7,8
10,1967,11,United Kingdom,Sandie Shaw,Puppet on a String,English,1,47
11,1967,12,Spain,Raphael,Hablemos del amor,Spanish,6,9
12,1967,13,Norway,Kirsti Sparboe,Dukkemann,Norwegian,14,2
13,1967,14,Monaco,Minouche Barelli,Boum-Badaboum,French,5,10
14,1967,15,Yugoslavia,Lado Leskovar,Vse rože sveta,Slovene,8,7
15,1967,16,Italy,Claudio Villa,Non andare più lontano,Italian,11,4
16,1967,17,Ireland,Sean Dunphy,If I Could Choose,English,2,22
0,1968,01,Portugal,Carlos Mendes,Verão,Portuguese,11,5
1,1968,02,Netherlands,Ronnie Tober,Morgen,Dutch,16,1
2,1968,03,Belgium,Claude Lombard,Quand tu reviendras,French,7,8
3,1968,04,Austria,Karel Gott,Tausend Fenster,German,13,2
4,1968,05,Luxembourg,Chris Baldo and Sophie Garel,Nous vivrons d'amour,French,11,5
5,1968,06,Switzerland,Gianni Mascolo,Guardando il sole,Italian,13,2
6,1968,07,Monaco,Line and Willy,À chacun sa chanson,French,7,8
7,1968,08,Sweden,Claes-Göran Hederström,"Det börjar verka kärlek, banne mig",Swedish,5,15
8,1968,09,Finland,Kristina Hautala,Kun kello käy,Finnish,16,1
9,1968,10,France,Isabelle Aubret,La source,French,3,20
10,1968,11,Italy,Sergio Endrigo,Marianne,Italian,10,7
11,1968,12,United Kingdom,Cliff Richard,Congratulations,English,2,28
12,1968,13,Norway,Odd Børre,Stress,Norwegian,13,2
13,1968,14,Ireland,Pat McGeegan,Chance of a Lifetime,English,4,18
14,1968,15,Spain,Massiel,"La, la, la",Spanish,1,29
15,1968,16,Germany,Wencke Myrhe,Ein Hoch der Liebe,German,6,11
16,1968,17,Yugoslavia,Luci Capurso and Hamo Hajdarhodžić,Jedan dan (Један дан),Serbo-Croatian,7,8
0,1969,01,Yugoslavia,Ivan and 4M,Pozdrav svijetu (Поздрав свијету),Serbo-Croatian,13,5
1,1969,02,Luxembourg,Romuald,Catherine,French,11,7
2,1969,03,Spain,Salomé,Vivo cantando,Spanish,1,18
3,1969,04,Monaco,Jean Jacques,"Maman, maman",French,6,11
4,1969,05,Ireland,Muriel Day and the Lindsays,The Wages of Love,English,7,10
5,1969,06,Italy,Iva Zanicchi,Due grosse lacrime bianche,Italian,13,5
6,1969,07,United Kingdom,Lulu,Boom Bang-a-Bang,English,1,18
7,1969,08,Netherlands,Lenny Kuhr,De troubadour,Dutch,1,18
8,1969,09,Sweden,Tommy Körberg,"Judy, min vän",Swedish,9,8
9,1969,10,Belgium,Louis Neefs,Jennifer Jennings,Dutch,7,10
10,1969,11,Switzerland,Paola del Medico,"Bonjour, Bonjour",German,5,13
11,1969,12,Norway,Kirsti Sparboe,"Oj, oj, oj, så glad jeg skal bli",Norwegian,16,1
12,1969,13,Germany,Siw Malmkvist,Primaballerina,German,9,8
13,1969,14,France,Frida Boccara,"Un jour, un enfant",French,1,18
14,1969,15,Portugal,Simone de Oliveira,Desfolhada portuguesa,Portuguese,15,4
15,1969,16,Finland,Jarkko and Laura,Kuin silloin ennen,Finnish,12,6
0,1970,01,Netherlands,Patricia and Hearts of Soul,Waterman,Dutch,7,7
1,1970,02,Switzerland,Henri Dès,Retour,French,4,8
2,1970,03,Italy,Gianni Morandi,Occhi di ragazza,Italian,8,5
3,1970,04,Yugoslavia,Eva Sršen,"Pridi, dala ti bom cvet",Slovene,11,4
4,1970,05,Belgium,Jean Vallée,Viens l'oublier,French,8,5
5,1970,06,France,Guy Bonnet,Marie-Blanche,French,4,8
6,1970,07,United Kingdom,Mary Hopkin,"Knock, Knock Who's There?",English,2,26
7,1970,08,Luxembourg,David Alexandre Winter,Je suis tombé du ciel,French,12,0
8,1970,09,Spain,Julio Iglesias,Gwendolyne,Spanish,4,8
9,1970,10,Monaco,Dominique Dussault,Marlène,French,8,5
10,1970,11,Germany,Katja Ebstein,Wunder gibt es immer wieder,German,3,12
11,1970,12,Ireland,Dana,All Kinds of Everything,English,1,32
0,1971,01,Austria,Marianne Mendt,Musik,Viennese German,16,66
1,1971,02,Malta,Joe Grech,Marija l-Maltija,Maltese,18,52
2,1971,03,Monaco,Séverine,"Un banc, un arbre, une rue",French,1,128
3,1971,04,Switzerland,"Peter, Sue and Marc",Les Illusions de nos vingt ans,French,12,78
4,1971,05,Germany,Katja Ebstein,Diese Welt,German,3,100
5,1971,06,Spain,Karina,En un mundo nuevo,Spanish,2,116
6,1971,07,France,Serge Lama,Un jardin sur la terre,French,10,82
7,1971,08,Luxembourg,Monique Melsen,"Pomme, pomme, pomme",French,13,70
8,1971,09,United Kingdom,Clodagh Rodgers,Jack in the Box,English,4,98
9,1971,10,Belgium,Lily Castel and Jacques Raymond,"Goeiemorgen, morgen",Dutch,14,68
10,1971,11,Italy,Massimo Ranieri,L'amore è un attimo,Italian,5,91
11,1971,12,Sweden,Family Four,Vita vidder,Swedish,6,85
12,1971,13,Ireland,Angela Farrell,One Day Love,English,11,79
13,1971,14,Netherlands,Saskia and Serge,Tijd,Dutch,6,85
14,1971,15,Portugal,Tonicha,Menina do alto da serra,Portuguese,9,83
15,1971,16,Yugoslavia,Krunoslav Slabinac,Tvoj dječak je tužan (Твој дјечак је тужан),Serbo-Croatian,14,68
16,1971,17,Finland,Markku Aro and Koivistolaiset,Tie uuteen päivään,Finnish,8,84
17,1971,18,Norway,Hanne Krogh,Lykken er,Norwegian,17,65
0,1972,01,Germany,Mary Roos,Nur die Liebe läßt uns leben,German,3,107
1,1972,02,France,Betty Mars,Comé-comédie,French,11,81
2,1972,03,Ireland,Sandie Jones,Ceol an Ghrá,Irish,15,72
3,1972,04,Spain,Jaime Morey,Amanece,Spanish,10,83
4,1972,05,United Kingdom,The New Seekers,"Beg, Steal or Borrow",English,2,114
5,1972,06,Norway,Grethe Kausland and Benny Borg,Småting,Norwegian,14,73
6,1972,07,Portugal,Carlos Mendes,A festa da vida,Portuguese,7,90
7,1972,08,Switzerland,Véronique Müller,C'est la chanson de mon amour,French,8,88
8,1972,09,Malta,Helen and Joseph,L-imħabba,Maltese,18,48
9,1972,10,Finland,Päivi Paunu and Kim Floor,Muistathan,Finnish,12,78
10,1972,11,Austria,Milestones,Falter im Wind,German,5,100
11,1972,12,Italy,Nicola Di Bari,I giorni dell'arcobaleno,Italian,6,92
12,1972,13,Yugoslavia,Tereza Kesovija,Muzika i ti (Музика и ти),Serbo-Croatian,9,87
13,1972,14,Sweden,Family Four,Härliga sommardag,Swedish,13,75
14,1972,15,Monaco,Anne-Marie Godart and Peter MacLane,Comme on s'aime,French,16,65
15,1972,16,Belgium,Serge and Christine Ghisoland,À la folie ou pas du tout,French,17,55
16,1972,17,Luxembourg,Vicky Leandros,Après toi,French,1,128
17,1972,18,Netherlands,Sandra and Andres,Als het om de liefde gaat,Dutch,4,106
0,1973,01,Finland,Marion Rung,Tom Tom Tom,English,6,93
1,1973,02,Belgium,Nicole and Hugo,"Baby, Baby",Dutch,17,58
2,1973,03,Portugal,Fernando Tordo,Tourada,Portuguese,10,80
3,1973,04,Germany,Gitte,Junger Tag,German,8,85
4,1973,05,Norway,Bendik Singers,It's Just a Game,"English, French",7,89
5,1973,06,Monaco,Marie,Un train qui part,French,8,85
6,1973,07,Spain,Mocedades,Eres tú,Spanish,2,125
7,1973,08,Switzerland,Patrick Juvet,"Je vais me marier, Marie",French,12,79
8,1973,09,Yugoslavia,Zdravko Čolić,Gori vatra (Гори ватра),Serbo-Croatian,15,65
9,1973,10,Italy,Massimo Ranieri,Chi sarà con te,Italian,13,74
10,1973,11,Luxembourg,Anne-Marie David,Tu te reconnaîtras,French,1,129
11,1973,12,Sweden,The Nova and the Dolls,You're Summer,English,5,94
12,1973,13,Netherlands,Ben Cramer,De oude muzikant,Dutch,14,69
13,1973,14,Ireland,Maxi,Do I Dream,English,10,80
14,1973,15,United Kingdom,Cliff Richard,Power to All Our Friends,English,3,123
15,1973,16,France,Martine Clémenceau,Sans toi,French,15,65
16,1973,17,Israel,Ilanit,Ey Sham (אי שם),Hebrew,4,97
0,1974,01,Finland,Carita,Keep Me Warm,English,13,4
1,1974,02,United Kingdom,Olivia Newton-John,Long Live Love,English,4,14
2,1974,03,Spain,Peret,Canta y sé feliz,Spanish,9,10
3,1974,04,Norway,Anne-Karine Strøm and the Bendik Singers,The First Day of Love,English,14,3
4,1974,05,Greece,Marinella,"Krasi, thalassa ke t' agori mou(Κρασί, θάλασσα και τ' αγόρι μου)",Greek,11,7
5,1974,06,Israel,Poogy,Natati La Khayay (נתתי לה חיי),Hebrew,7,11
6,1974,07,Yugoslavia,Korni Grupa,Generacija '42 (Генерација '42),Serbo-Croatian,12,6
7,1974,08,Sweden,ABBA,Waterloo,English,1,24
8,1974,09,Luxembourg,Ireen Sheer,Bye Bye I Love You,French,4,14
9,1974,10,Monaco,Romuald,Celui qui reste et celui qui s'en va,French,4,14
10,1974,11,Belgium,Jacques Hustin,Fleur de liberté,French,9,10
11,1974,12,Netherlands,Mouth and MacNeal,I See a Star,English,3,15
12,1974,13,Ireland,Tina Reynolds,Cross Your Heart,English,7,11
13,1974,14,Germany,Cindy and Bert,Die Sommermelodie,German,14,3
14,1974,15,Switzerland,Piera Martell,Mein Ruf nach dir,German,14,3
15,1974,16,Portugal,Paulo de Carvalho,E depois do adeus,Portuguese,14,3
16,1974,17,Italy,Gigliola Cinquetti,Sì,Italian,2,18
0,1975,01,Netherlands,Teach-In,Ding-a-dong,English,1,152
1,1975,02,Ireland,The Swarbriggs,That's What Friends Are For,English,9,68
2,1975,03,France,Nicole Rieu,Et bonjour à toi l'artiste,French,4,91
3,1975,04,Germany,Joy Fleming,Ein Lied kann eine Brücke sein,"German, English",17,15
4,1975,05,Luxembourg,Géraldine,Toi,French,5,84
5,1975,06,Norway,Ellen Nikolaysen,Touch My Life (with Summer),English,18,11
6,1975,07,Switzerland,Simone Drexel,Mikado,German,6,77
7,1975,08,Yugoslavia,Pepel in kri,Dan ljubezni,Slovene,13,22
8,1975,09,United Kingdom,The Shadows,Let Me Be the One,English,2,138
9,1975,10,Malta,Renato,Singing This Song,English,12,32
10,1975,11,Belgium,Ann Christy,Gelukkig zijn,"Dutch, English",15,17
11,1975,12,Israel,Shlomo Artzi,At Va'Ani (את ואני),Hebrew,11,40
12,1975,13,Turkey,Semiha Yankı,Seninle Bir Dakika,Turkish,19,3
13,1975,14,Monaco,Sophie,Une chanson c'est une lettre,French,13,22
14,1975,15,Finland,Pihasoittajat,Old Man Fiddle,English,7,74
15,1975,16,Portugal,Duarte Mendes,Madrugada,Portuguese,16,16
16,1975,17,Spain,Sergio and Estíbaliz,Tú volverás,Spanish,10,53
17,1975,18,Sweden,Lasse Berghagen and the Dolls,"Jennie, Jennie",English,8,72
18,1975,19,Italy,Wess and Dori Ghezzi,Era,Italian,3,115
0,1976,01,United Kingdom,Brotherhood of Man,Save Your Kisses for Me,English,1,164
1,1976,02,Switzerland,"Peter, Sue and Marc","Djambo, Djambo",English,4,91
2,1976,03,Germany,Les Humphries Singers,Sing Sang Song,"German, English",15,12
3,1976,04,Israel,"Chocolate, Menta, Mastik",Emor Shalom (אמור שלום),Hebrew,6,77
4,1976,05,Luxembourg,Jürgen Marcus,Chansons pour ceux qui s'aiment,French,14,17
5,1976,06,Belgium,Pierre Rapsat,Judy et Cie,French,8,68
6,1976,07,Ireland,Red Hurley,When,English,10,54
7,1976,08,Netherlands,Sandra Reemer,The Party's Over,English,9,56
8,1976,09,Norway,Anne-Karine Strøm,Mata Hari,English,18,7
9,1976,10,Greece,Mariza Koch,"Panagia mou, Panagia mou (Παναγιά μου, Παναγιά μου)",Greek,13,20
10,1976,11,Finland,Fredi and the Friends,Pump-Pump,English,11,44
11,1976,12,Spain,Braulio,Sobran las palabras,Spanish,16,11
12,1976,13,Italy,Al Bano and Romina Power,We'll Live It All Again,"English, Italian",7,69
13,1976,14,Austria,Waterloo and Robinson,My Little World,English,5,80
14,1976,15,Portugal,Carlos do Carmo,Uma flor de verde pinho,Portuguese,12,24
15,1976,16,Monaco,Mary Christy,"Toi, la musique et moi",French,3,93
16,1976,17,France,Catherine Ferry,"Un, deux, trois",French,2,147
17,1976,18,Yugoslavia,Ambasadori,Ne mogu skriti svoju bol (Не могу скрити своју бол),Serbo-Croatian,17,10
0,1977,01,Ireland,The Swarbriggs Plus Two,It's Nice to Be in Love Again,English,3,119
1,1977,02,Monaco,Michèle Torr,Une petite française,French,4,96
2,1977,03,Netherlands,Heddy Lester,De mallemolen,Dutch,12,35
3,1977,04,Austria,Schmetterlinge,Boom Boom Boomerang,German,17,11
4,1977,05,Norway,Anita Skorgan,Casanova,Norwegian,14,18
5,1977,06,Germany,Silver Convention,Telegram,English,8,55
6,1977,07,Luxembourg,Anne-Marie B,Frère Jacques,French,16,17
