,Year,Draw,Country,Artist,Song,Language,Place,Points
1,2008,02,United Kingdom,Andy Abraham,Even If,English,25,14
2,2008,03,Albania,Olta Boka,Zemrën e lamë peng,Albanian,17,55
3,2008,04,Germany,No Angels,Disappear,English,23,14
4,2008,05,Armenia,Sirusho,"Qélé, Qélé (Քելե Քելե)","English, Armenian",4,199
5,2008,06,Bosnia and Herzegovina,Laka,Pokušaj,Bosnian,10,110
6,2008,07,Israel,Boaz,The Fire in Your Eyes,Hebrew,9,124
7,2008,08,Finland,Teräsbetoni,Missä miehet ratsastaa,Finnish,22,35
8,2008,09,Croatia,Kraljevi ulice and 75 Cents,Romanca,Croatian,21,44
9,2008,10,Poland,Isis Gee,For Life,English,24,14
10,2008,11,Iceland,Euroband,This Is My Life,English,14,64
11,2008,12,Turkey,Mor ve Ötesi,Deli,Turkish,7,138
12,2008,13,Portugal,Vânia Fernandes,Senhora do mar (Negras águas),Portuguese,13,69
13,2008,14,Latvia,Pirates of the Sea,Wolves of the Sea,English,12,83
14,2008,15,Sweden,Charlotte Perrelli,Hero,English,18,47
15,2008,16,Denmark,Simon Mathew,All Night Long,English,15,60
16,2008,17,Georgia,Diana Gurtskaya,Peace Will Come,English,11,83
17,2008,18,Ukraine,Ani Lorak,Shady Lady,English,2,230
18,2008,19,France,Sébastien Tellier,Divine,English,19,47
19,2008,20,Azerbaijan,Elnur and Samir,Day After Day,English,8,132
20,2008,21,Greece,Kalomira,Secret Combination,English,3,218
21,2008,22,Spain,Rodolfo Chikilicuatre,Baila el Chiki Chiki,"Spanish, English",16,55
22,2008,23,Serbia,Jelena Tomašević feat. Bora Dugić,Oro (Оро),Serbian,6,160
23,2008,24,Russia,Dima Bilan,Believe,English,1,272
24,2008,25,Norway,Maria,Hold On Be Strong,English,5,182
0,2009,01,Lithuania,Sasha Son,Love,"English, Russian",23,23
1,2009,02,Israel,Noa and Mira Awad,There Must Be Another Way,"English, Hebrew, Arabic",16,53
2,2009,03,France,Patricia Kaas,Et s'il fallait le faire,French,8,107
3,2009,04,Sweden,Malena Ernman,La voix,"English, French",21,33
4,2009,05,Croatia,Igor Cukrov feat. Andrea,Lijepa Tena,Croatian,18,45
5,2009,06,Portugal,Flor-de-Lis,Todas as ruas do amor,Portuguese,15,57
6,2009,07,Iceland,Yohanna,Is It True?,English,2,218
7,2009,08,Greece,Sakis Rouvas,This Is Our Night,English,7,120
8,2009,09,Armenia,Inga and Anush,Jan Jan (Ջան Ջան),"English, Armenian",10,92
9,2009,10,Russia,Anastasia Prikhodko,Mamo (Мамо),"Russian, Ukrainian",11,91
10,2009,11,Azerbaijan,AySel and Arash,Always,English,3,207
11,2009,12,Bosnia and Herzegovina,Regina,Bistra voda,Bosnian,9,106
12,2009,13,Moldova,Nelly Ciobanu,Hora din Moldova,"Romanian, English",14,69
13,2009,14,Malta,Chiara,What If We,English,22,31
14,2009,15,Estonia,Urban Symphony,Rändajad,Estonian,6,129
15,2009,16,Denmark,Brinck,Believe Again,English,13,74
16,2009,17,Germany,Alex Swings Oscar Sings!,Miss Kiss Kiss Bang,English,20,35
17,2009,18,Turkey,Hadise,Düm Tek Tek,"English, Turkish",4,177
18,2009,19,Albania,Kejsi Tola,Carry Me in Your Dreams,English,17,48
19,2009,20,Norway,Alexander Rybak,Fairytale,English,1,387
20,2009,21,Ukraine,Svetlana Loboda,Be My Valentine! (Anti-Crisis Girl),English,12,76
21,2009,22,Romania,Elena,The Balkan Girls,English,19,40
22,2009,23,United Kingdom,Jade Ewen,It's My Time,English,5,173
23,2009,24,Finland,Waldo's People,Lose Control,English,25,22
24,2009,25,Spain,Soraya Arnelas,La noche es para mí,"Spanish, English",24,23
0,2010,01,Azerbaijan,Safura,Drip Drop,English,5,145
1,2010,02,Spain,Daniel Diges,Algo pequeñito,Spanish,15,68
2,2010,03,Norway,Didrik Solli-Tangen,My Heart Is Yours,English,20,35
3,2010,04,Moldova,SunStroke Project and Olia Tira,Run Away,English,22,27
4,2010,05,Cyprus,Jon Lilygreen and the Islanders,Life Looks Better in Spring,English,21,27
5,2010,06,Bosnia and Herzegovina,Vukašin Brajić,Thunder and Lightning,English,17,51
6,2010,07,Belgium,Tom Dice,Me and My Guitar,English,6,143
7,2010,08,Serbia,Milan Stanković,Ovo je Balkan (Oво je Балкан),Serbian,13,72
8,2010,09,Belarus,3+2 feat. Robert Wells,Butterflies,English,24,18
9,2010,10,Ireland,Niamh Kavanagh,It's for You,English,23,25
10,2010,11,Greece,Giorgos Alkaios and Friends,Opa (Ώπα),Greek,8,140
11,2010,12,United Kingdom,Josh Dubovie,That Sounds Good to Me,English,25,10
12,2010,13,Georgia,Sofia Nizharadze,Shine,English,9,136
13,2010,14,Turkey,Manga,We Could Be the Same,English,2,170
14,2010,15,Albania,Juliana Pasha,It's All About You,English,16,62
15,2010,16,Iceland,Hera Björk,Je ne sais quoi,English,19,41
16,2010,17,Ukraine,Alyosha,Sweet People,English,10,108
17,2010,18,France,Jessy Matador,Allez Ola Olé,French,12,82
18,2010,19,Romania,Paula Seling and Ovi,Playing with Fire,English,3,162
19,2010,20,Russia,Peter Nalitch and Friends,Lost and Forgotten,English,11,90
20,2010,21,Armenia,Eva Rivas,Apricot Stone,English,7,141
21,2010,22,Germany,Lena,Satellite,English,1,246
22,2010,23,Portugal,Filipa Azevedo,Há dias assim,Portuguese,18,43
23,2010,24,Israel,Harel Skaat,Milim (מילים),Hebrew,14,71
24,2010,25,Denmark,Chanée and N'evergreen,In a Moment like This,English,4,149
0,2011,01,Finland,Paradise Oskar,Da Da Dam,English,21,57
1,2011,02,Bosnia and Herzegovina,Dino Merlin,Love in Rewind,English,6,125
2,2011,03,Denmark,A Friend in London,New Tomorrow,English,5,134
3,2011,04,Lithuania,Evelina Sašenko,C'est ma vie,English,19,63
4,2011,05,Hungary,Kati Wolf,What About My Dreams?,"English, Hungarian",22,53
5,2011,06,Ireland,Jedward,Lipstick,English,8,119
6,2011,07,Sweden,Eric Saade,Popular,English,3,185
7,2011,08,Estonia,Getter Jaani,Rockefeller Street,English,24,44
8,2011,09,Greece,Loukas Yorkas feat. Stereo Mike,Watch My Dance,"English, Greek",7,120
9,2011,10,Russia,Alexey Vorobyov,Get You,"English, Russian",16,77
10,2011,11,France,Amaury Vassili,Sognu,Corsican,15,82
11,2011,12,Italy,Raphael Gualazzi,Madness of Love,"Italian, English",2,189
12,2011,13,Switzerland,Anna Rossinelli,In Love for a While,English,25,19
13,2011,14,United Kingdom,Blue,I Can,English,11,100
14,2011,15,Moldova,Zdob și Zdub,So Lucky,English,12,97
15,2011,16,Germany,Lena,Taken by a Stranger,English,10,107
16,2011,17,Romania,Hotel FM,Change,English,17,77
17,2011,18,Austria,Nadine Beiler,The Secret Is Love,English,18,64
18,2011,19,Azerbaijan,Ell and Nikki,Running Scared,English,1,221
19,2011,20,Slovenia,Maja Keuc,No One,English,13,96
20,2011,21,Iceland,Sjonni's Friends,Coming Home,English,20,61
21,2011,22,Spain,Lucía Pérez,Que me quiten lo bailao,Spanish,23,50
22,2011,23,Ukraine,Mika Newton,Angel,English,4,159
23,2011,24,Serbia,Nina,Čaroban (Чаробан),Serbian,14,85
24,2011,25,Georgia,Eldrine,One More Day,English,9,110
0,2012,01,United Kingdom,Engelbert Humperdinck,Love Will Set You Free,English,25,12
1,2012,02,Hungary,Compact Disco,Sound of Our Hearts,English,24,19
2,2012,03,Albania,Rona Nishliu,Suus,Albanian,5,146
3,2012,04,Lithuania,Donny Montell,Love Is Blind,English,14,70
4,2012,05,Bosnia and Herzegovina,Maya Sar,Korake ti znam,Bosnian,18,55
5,2012,06,Russia,Buranovskiye Babushki,Party for Everybody,"Udmurt, English",2,259
6,2012,07,Iceland,Greta Salóme and Jónsi,Never Forget,English,20,46
7,2012,08,Cyprus,Ivi Adamou,La La Love,English,16,65
8,2012,09,France,Anggun,Echo (You and I),"French, English",22,21
9,2012,10,Italy,Nina Zilli,L'amore è femmina (Out of Love),"English, Italian",9,101
10,2012,11,Estonia,Ott Lepland,Kuula,Estonian,6,120
11,2012,12,Norway,Tooji,Stay,English,26,7
12,2012,13,Azerbaijan,Sabina Babayeva,When the Music Dies,English,4,150
13,2012,14,Romania,Mandinga,Zaleilah,"Spanish, English",12,71
14,2012,15,Denmark,Soluna Samay,Should've Known Better,English,23,21
15,2012,16,Greece,Eleftheria Eleftheriou,Aphrodisiac,English,17,64
16,2012,17,Sweden,Loreen,Euphoria,English,1,372
17,2012,18,Turkey,Can Bonomo,Love Me Back,English,7,112
18,2012,19,Spain,Pastora Soler,Quédate conmigo,Spanish,10,97
19,2012,20,Germany,Roman Lob,Standing Still,English,8,110
20,2012,21,Malta,Kurt Calleja,This Is the Night,English,21,41
21,2012,22,Macedonia,Kaliopi,Crno i belo (Црно и бело),Macedonian,13,71
22,2012,23,Ireland,Jedward,Waterline,English,19,46
23,2012,24,Serbia,Željko Joksimović,Nije ljubav stvar (Није љубав ствар),Serbian,3,214
24,2012,25,Ukraine,Gaitana,Be My Guest,English,15,65
25,2012,26,Moldova,Pasha Parfeny,Lăutar,English,11,81
0,2013,01,France,Amandine Bourgeois,L'enfer et moi,French,23,14
1,2013,02,Lithuania,Andrius Pojavis,Something,English,22,17
2,2013,03,Moldova,Aliona Moon,O mie,Romanian,11,71
3,2013,04,Finland,Krista Siegfrids,Marry Me,English,24,13
4,2013,05,Spain,ESDM,Contigo hasta el final,Spanish,25,8
5,2013,06,Belgium,Roberto Bellarosa,Love Kills,English,12,71
6,2013,07,Estonia,Birgit,Et uus saaks alguse,Estonian,20,19
7,2013,08,Belarus,Alyona Lanskaya,Solayoh,English,16,48
8,2013,09,Malta,Gianluca,Tomorrow,English,8,120
9,2013,10,Russia,Dina Garipova,What If,English,5,174
10,2013,11,Germany,Cascada,Glorious,English,21,18
11,2013,12,Armenia,Dorians,Lonely Planet,English,18,41
12,2013,13,Netherlands,Anouk,Birds,English,9,114
13,2013,14,Romania,Cezar,It's My Life,English,13,65
14,2013,15,United Kingdom,Bonnie Tyler,Believe in Me,English,19,23
15,2013,16,Sweden,Robin Stjernberg,You,English,14,62
16,2013,17,Hungary,ByeAlex,Kedvesem (Zoohacker Remix),Hungarian,10,84
17,2013,18,Denmark,Emmelie de Forest,Only Teardrops,English,1,281
18,2013,19,Iceland,Eythor Ingi,Ég á líf,Icelandic,17,47
19,2013,20,Azerbaijan,Farid Mammadov,Hold Me,English,2,234
20,2013,21,Greece,Koza Mostra feat. Agathon Iakovidis,Alcohol Is Free,Greek,6,152
21,2013,22,Ukraine,Zlata Ognevich,Gravity,English,3,214
22,2013,23,Italy,Marco Mengoni,L'essenziale,Italian,7,126
23,2013,24,Norway,Margaret Berger,I Feed You My Love,English,4,191
24,2013,25,Georgia,Nodi Tatishvili and Sophie Gelovani,Waterfall,English,15,50
25,2013,26,Ireland,Ryan Dolan,Only Love Survives,English,26,5
0,2014,01,Ukraine,Mariya Yaremchuk,Tick-Tock,English,6,113
1,2014,02,Belarus,Teo,Cheesecake,English,16,43
2,2014,03,Azerbaijan,Dilara Kazimova,Start a Fire,English,22,33
3,2014,04,Iceland,Pollapönk,No Prejudice,English,15,58
4,2014,05,Norway,Carl Espen,Silent Storm,English,8,88
5,2014,06,Romania,Paula Seling and Ovi,Miracle,English,12,72
6,2014,07,Armenia,Aram Mp3,Not Alone,English,4,174
7,2014,08,Montenegro,Sergej Ćetković,Moj svijet (Мој свијет),Montenegrin,19,37
8,2014,09,Poland,Donatan and Cleo,My Słowianie – We Are Slavic,"Polish, English",14,62
9,2014,10,Greece,Freaky Fortune feat. RiskyKidd,Rise Up,English,20,35
10,2014,11,Austria,Conchita Wurst,Rise Like a Phoenix,English,1,290
11,2014,12,Germany,Elaiza,Is It Right,English,18,39
12,2014,13,Sweden,Sanna Nielsen,Undo,English,3,218
13,2014,14,France,Twin Twin,Moustache,French,26,2
14,2014,15,Russia,Tolmachevy Sisters,Shine,English,7,89
15,2014,16,Italy,Emma,La mia città,Italian,21,33
16,2014,17,Slovenia,Tinkara Kovač,Round and Round,"English, Slovene",25,9
17,2014,18,Finland,Softengine,Something Better,English,11,72
18,2014,19,Spain,Ruth Lorenzo,Dancing in the Rain,"English, Spanish",10,74
19,2014,20,Switzerland,Sebalter,Hunter of Stars,English,13,64
20,2014,21,Hungary,András Kállay-Saunders,Running,English,5,143
21,2014,22,Malta,Firelight,Coming Home,English,23,32
22,2014,23,Denmark,Basim,Cliche Love Song,English,9,74
23,2014,24,Netherlands,The Common Linnets,Calm After the Storm,English,2,238
24,2014,25,San Marino,Valentina Monetta,Maybe,English,24,14
25,2014,26,United Kingdom,Molly,Children of the Universe,English,17,40
0,2015,01,Slovenia,Maraaya,Here for You,English,14,39
1,2015,02,France,Lisa Angell,N'oubliez pas,French,25,4
2,2015,03,Israel,Nadav Guedj,Golden Boy,English,9,97
3,2015,04,Estonia,Elina Born and Stig Rästa,Goodbye to Yesterday,English,7,106
4,2015,05,United Kingdom,Electro Velvet,Still in Love with You,English,24,5
5,2015,06,Armenia,Genealogy,Face the Shadow,English,16,34
6,2015,07,Lithuania,Monika Linkytė and Vaidas Baumila,This Time,English,18,30
7,2015,08,Serbia,Bojana Stamenov,Beauty Never Lies,English,10,53
8,2015,09,Norway,Mørland and Debrah Scarlett,A Monster Like Me,English,8,102
9,2015,10,Sweden,Måns Zelmerlöw,Heroes,English,1,365
10,2015,11,Cyprus,John Karayiannis,One Thing I Should Have Done,English,22,11
11,2015,12,Australia,Guy Sebastian,Tonight Again,English,5,196
12,2015,13,Belgium,Loïc Nottet,Rhythm Inside,English,4,217
13,2015,14,Austria,The Makemakes,I Am Yours,English,26,0
14,2015,15,Greece,Maria Elena Kyriakou,One Last Breath,English,19,23
15,2015,16,Montenegro,Knez,Adio (Адио),Montenegrin,13,44
16,2015,17,Germany,Ann Sophie,Black Smoke,English,27,0
17,2015,18,Poland,Monika Kuszyńska,In the Name of Love,English,23,10
18,2015,19,Latvia,Aminata,Love Injected,English,6,186
19,2015,20,Romania,Voltaj,De la capăt,"Romanian, English",15,35
20,2015,21,Spain,Edurne,Amanecer,Spanish,21,15
21,2015,22,Hungary,Boggie,Wars for Nothing,English,20,19
22,2015,23,Georgia,Nina Sublatti,Warrior,English,11,51
23,2015,24,Azerbaijan,Elnur Hüseynov,Hour of the Wolf,English,12,49
24,2015,25,Russia,Polina Gagarina,A Million Voices,English,2,303
25,2015,26,Albania,Elhaida Dani,I'm Alive,English,17,34
26,2015,27,Italy,Il Volo,Grande amore,Italian,3,292
0,2016,01,Belgium,Laura Tesoro,What's the Pressure,English,10,181
1,2016,02,Czech Republic,Gabriela Gunčíková,I Stand,English,25,41
2,2016,03,Netherlands,Douwe Bob,Slow Down,English,11,153
3,2016,04,Azerbaijan,Samra,Miracle,English,17,117
4,2016,05,Hungary,Freddie,Pioneer,English,19,108
5,2016,06,Italy,Francesca Michielin,No Degree of Separation,"Italian, English",16,124
6,2016,07,Israel,Hovi Star,Made of Stars,English,14,135
7,2016,08,Bulgaria,Poli Genova,If Love Was a Crime,"English, Bulgarian",4,307
8,2016,09,Sweden,Frans,If I Were Sorry,English,5,261
9,2016,10,Germany,Jamie-Lee,Ghost,English,26,11
10,2016,11,France,Amir,J'ai cherché,"French, English",6,257
11,2016,12,Poland,Michał Szpak,Color of Your Life,English,8,229
12,2016,13,Australia,Dami Im,Sound of Silence,English,2,511
13,2016,14,Cyprus,Minus One,Alter Ego,English,21,96
14,2016,15,Serbia,Sanja Vučić ZAA,Goodbye (Shelter),English,18,115
15,2016,16,Lithuania,Donny Montell,I've Been Waiting for This Night,English,9,200
16,2016,17,Croatia,Nina Kraljić,Lighthouse,English,23,73
17,2016,18,Russia,Sergey Lazarev,You Are the Only One,English,3,491
18,2016,19,Spain,Barei,Say Yay!,English,22,77
19,2016,20,Latvia,Justs,Heartbeat,English,15,132
20,2016,21,Ukraine,Jamala,1944,"English, Crimean Tatar",1,534
21,2016,22,Malta,Ira Losco,Walk on Water,English,12,153
22,2016,23,Georgia,Nika Kocharov and Young Georgian Lolitaz,Midnight Gold,English,20,104
23,2016,24,Austria,Zoë,Loin d'ici,French,13,151
24,2016,25,United Kingdom,Joe and Jake,You're Not Alone,English,24,62
25,2016,26,Armenia,Iveta Mukuchyan,LoveWave,English,7,249
0,2017,01,Israel,Imri,I Feel Alive,English,23,39
1,2017,02,Poland,Kasia Moś,Flashlight,English,22,64
2,2017,03,Belarus,Naviband,Story of My Life,Belarusian,17,83
3,2017,04,Austria,Nathan Trent,Running on Air,English,16,93
4,2017,05,Armenia,Artsvik,Fly with Me,English,18,79
5,2017,06,Netherlands,O'G3NE,Lights and Shadows,English,11,150
6,2017,07,Moldova,SunStroke Project,Hey Mamma,English,3,374
7,2017,08,Hungary,Joci Pápai,Origo,Hungarian,8,200
8,2017,09,Italy,Francesco Gabbani,Occidentali's Karma,Italian,6,334
9,2017,10,Denmark,Anja,Where I Am,English,20,77
10,2017,11,Portugal,Salvador Sobral,Amar pelos dois,Portuguese,1,758
11,2017,12,Azerbaijan,Dihaj,Skeletons,English,14,120
12,2017,13,Croatia,Jacques Houdek,My Friend,"English, Italian",13,128
13,2017,14,Australia,Isaiah,Don't Come Easy,English,9,173
14,2017,15,Greece,Demy,This Is Love,English,19,77
15,2017,16,Spain,Manel Navarro,Do It for Your Lover,"Spanish, English",26,5
16,2017,17,Norway,Jowst,Grab the Moment,English,10,158
17,2017,18,United Kingdom,Lucie Jones,Never Give Up on You,English,15,111
18,2017,19,Cyprus,Hovig,Gravity,English,21,68
19,2017,20,Romania,Ilinca feat. Alex Florea,Yodel It!,English,7,282
20,2017,21,Germany,Levina,Perfect Life,English,25,6
21,2017,22,Ukraine,O.Torvald,Time,English,24,36
22,2017,23,Belgium,Blanche,City Lights,English,4,363
23,2017,24,Sweden,Robin Bengtsson,I Can't Go On,English,5,344
24,2017,25,Bulgaria,Kristian Kostov,Beautiful Mess,English,2,615
25,2017,26,France,Alma,Requiem,"French, English",12,135
0,2018,01,Ukraine,Mélovin,Under the Ladder,English,17,130
1,2018,02,Spain,Amaia and Alfred,Tu canción,Spanish,23,61
2,2018,03,Slovenia,Lea Sirk,"Hvala, ne!",Slovene,22,64
3,2018,04,Lithuania,Ieva Zasimauskaitė,When We're Old,English,12,181
4,2018,05,Austria,Cesár Sampson,Nobody but You,English,3,342
5,2018,06,Estonia,Elina Nechayeva,La forza,Italian,8,245
6,2018,07,Norway,Alexander Rybak,That's How You Write a Song,English,15,144
7,2018,08,Portugal,Cláudia Pascoal,O jardim,Portuguese,26,39
8,2018,09,United Kingdom,SuRie,Storm,English,24,48
9,2018,10,Serbia,Sanja Ilić and Balkanika,Nova deca (Нова деца),Serbian,19,113
10,2018,11,Germany,Michael Schulte,You Let Me Walk Alone,English,4,340
11,2018,12,Albania,Eugent Bushpepa,Mall,Albanian,11,184
12,2018,13,France,Madame Monsieur,Mercy,French,13,173
13,2018,14,Czech Republic,Mikolas Josef,Lie to Me,English,6,281
14,2018,15,Denmark,Rasmussen,Higher Ground,English,9,226
15,2018,16,Australia,Jessica Mauboy,We Got Love,English,20,99
16,2018,17,Finland,Saara Aalto,Monsters,English,25,46
17,2018,18,Bulgaria,Equinox,Bones,English,14,166
18,2018,19,Moldova,DoReDoS,My Lucky Day,English,10,209
19,2018,20,Sweden,Benjamin Ingrosso,Dance You Off,English,7,274
20,2018,21,Hungary,AWS,Viszlát nyár,Hungarian,21,93
21,2018,22,Israel,Netta,Toy,English,1,529
22,2018,23,Netherlands,Waylon,Outlaw in 'Em,English,18,121
23,2018,24,Ireland,Ryan O'Shaughnessy,Together,English,16,136
24,2018,25,Cyprus,Eleni Foureira,Fuego,English,2,436
25,2018,26,Italy,Ermal Meta and Fabrizio Moro,Non mi avete fatto niente,Italian,5,308
0,2019,01,Malta,Michela,Chameleon,English,14,107
1,2019,02,Albania,Jonida Maliqi,Ktheju tokës,Albanian,17,90
2,2019,03,Czech Republic,Lake Malawi,Friend of a Friend,English,11,157
3,2019,04,Germany,Sisters,Sister,English,25,24
4,2019,05,Russia,Sergey Lazarev,Scream,English,3,370
5,2019,06,Denmark,Leonora,Love Is Forever,"English, French",12,120
6,2019,07,San Marino,Serhat,Say Na Na Na,English,19,77
7,2019,08,North Macedonia,Tamara Todevska,Proud,English,7,305
8,2019,09,Sweden,John Lundvik,Too Late for Love,English,5,334
9,2019,10,Slovenia,Zala Kralj and Gašper Šantl,Sebi,Slovene,15,105
10,2019,11,Cyprus,Tamta,Replay,English,13,109
11,2019,12,Netherlands,Duncan Laurence,Arcade,English,1,498
12,2019,13,Greece,Katerine Duska,Better Love,English,21,74
13,2019,14,Israel,Kobi Marimi,Home,English,23,35
14,2019,15,Norway,Keiino,Spirit in the Sky,English,6,331
15,2019,16,United Kingdom,Michael Rice,Bigger than Us,English,26,11
16,2019,17,Iceland,Hatari,Hatrið mun sigra,Icelandic,10,232
17,2019,18,Estonia,Victor Crone,Storm,English,20,76
18,2019,19,Belarus,Zena,Like It,English,24,31
19,2019,20,Azerbaijan,Chingiz,Truth,English,8,302
20,2019,21,France,Bilal Hassani,Roi,"French, English",16,105
21,2019,22,Italy,Mahmood,Soldi,Italian,2,472
22,2019,23,Serbia,Nevena Božović,Kruna (Круна),Serbian,18,89
23,2019,24,Switzerland,Luca Hänni,She Got Me,English,4,364
24,2019,25,Australia,Kate Miller-Heidke,Zero Gravity,English,9,284
25,2019,26,Spain,Miki,La venda,Spanish,22,54
0,2021,01,Cyprus,Elena Tsagrinou,El Diablo,English,16,94
1,2021,02,Albania,Anxhela Peristeri,Karma,Albanian,21,57
2,2021,03,Israel,Eden Alene,Set Me Free,English,17,93
3,2021,04,Belgium,Hooverphonic,The Wrong Place,English,19,74
4,2021,05,Russia,Manizha,Russian Woman,"Russian, English",9,204
5,2021,06,Malta,Destiny,Je me casse,English,7,255
6,2021,07,Portugal,The Black Mamba,Love Is on My Side,English,12,153
7,2021,08,Serbia,Hurricane,Loco Loco,Serbian,15,102
8,2021,09,United Kingdom,James Newman,Embers,English,26,0
9,2021,10,Greece,Stefania,Last Dance,English,10,170
10,2021,11,Switzerland,Gjon's Tears,Tout l'univers,French,3,432
11,2021,12,Iceland,Daði og Gagnamagnið,10 Years,English,4,378
12,2021,13,Spain,Blas Cantó,Voy a quedarme,Spanish,24,6
13,2021,14,Moldova,Natalia Gordienko,Sugar,English,13,115
14,2021,15,Germany,Jendrik,I Don't Feel Hate,English,25,3
15,2021,16,Finland,Blind Channel,Dark Side,English,6,301
16,2021,17,Bulgaria,Victoria,Growing Up Is Getting Old,English,11,170
17,2021,18,Lithuania,The Roop,Discoteque,English,8,220
18,2021,19,Ukraine,Go_A,Shum (Шум),Ukrainian,5,364
19,2021,20,France,Barbara Pravi,Voilà,French,2,499
20,2021,21,Azerbaijan,Efendi,Mata Hari,English,20,65
21,2021,22,Norway,Tix,Fallen Angel,English,18,75
22,2021,23,Netherlands,Jeangu Macrooy,Birth of a New Age,"English, Sranan Tongo",23,11
23,2021,24,Italy,Måneskin,Zitti e buoni,Italian,1,524
24,2021,25,Sweden,Tusse,Voices,English,14,109
25,2021,26,San Marino,Senhit,Adrenalina,English,22,50
0,2022,01,Czech Republic,We Are Domi,Lights Off,English,22,38
1,2022,02,Romania,WRS,Llámame,English,18,65
2,2022,03,Portugal,Maro,"Saudade, saudade","English, Portuguese",9,207
3,2022,04,Finland,The Rasmus,Jezebel,English,21,38
4,2022,05,Switzerland,Marius Bear,Boys Do Cry,English,17,78
5,2022,06,France,Alvan and Ahez,Fulenn,Breton,24,17
6,2022,07,Norway,Subwoolfer,Give That Wolf a Banana,English,10,182
7,2022,08,Armenia,Rosa Linn,Snap,English,20,61
8,2022,09,Italy,Mahmood and Blanco,Brividi,Italian,6,268
9,2022,10,Spain,Chanel,SloMo,"Spanish, English",3,459
10,2022,11,Netherlands,S10,De diepte,Dutch,11,171
11,2022,12,Ukraine,Kalush Orchestra,Stefania (Стефанія),Ukrainian,1,631
12,2022,13,Germany,Malik Harris,Rockstars,English,25,6
13,2022,14,Lithuania,Monika Liu,Sentimentai,Lithuanian,14,128
14,2022,15,Azerbaijan,Nadir Rustamli,Fade to Black,English,16,106
15,2022,16,Belgium,Jérémie Makiese,Miss You,English,19,64
16,2022,17,Greece,Amanda Georgiadi Tenfjord,Die Together,English,8,215
17,2022,18,Iceland,Systur,Með hækkandi sól,Icelandic,23,20
18,2022,19,Moldova,Zdob și Zdub and Advahov Brothers,Trenulețul,"Romanian, English",7,253
19,2022,20,Sweden,Cornelia Jakobs,Hold Me Closer,English,4,438
20,2022,21,Australia,Sheldon Riley,Not the Same,English,15,125
21,2022,22,United Kingdom,Sam Ryder,Space Man,English,2,466
22,2022,23,Poland,Ochman,River,English,12,151
23,2022,24,Serbia,Konstrakta,In corpore sano,"Serbian, Latin",5,312
24,2022,25,Estonia,Stefan,Hope,English,13,141
